segment_id,latitude,longitude,lat_end,lng_end,violent_crimes_90d,property_crimes_90d,drug_crimes_90d,total_crimes_90d,recent_crimes_7d,street_hazards,encampments,needles_reported,blocked_sidewalk,total_311_reports,lighting_issues,active_construction,hour,day_of_week,is_weekend,is_night,is_rush_hour,month,in_high_risk_area,in_business_district,distance_to_downtown,sidewalk_width,lighting_quality,cctv_coverage,nearest_transit_stop,pedestrian_traffic,business_density,escape_routes,is_unsafe
seg_28_23,37.736,-122.497,37.736999999999995,-122.496,1,2,0,5,1,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.11301769772915592,2.39814121307472,0.8950363060858919,0,153.83285518185843,0.7287523866427382,3,1,0
seg_23_119,37.731,-122.401,37.732,-122.39999999999999,7,10,0,35,1,2,0,0,0,2,0,0,19,5,True,False,True,10,1,0,0.06300793600808859,2.845913173594108,0.7815172789635574,1,421.1006834439657,0.46720036496550366,8,1,1
seg_95_85,37.803,-122.435,37.803999999999995,-122.434,7,10,0,30,0,4,1,0,0,5,0,0,19,5,True,False,True,10,0,0,0.03613862199918209,3.1700280479546428,0.504543574257082,1,303.7984276547863,0.8483082699351338,5,4,1
seg_94_161,37.802,-122.359,37.803,-122.35799999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.04177319714842218,2.633874773933049,0.37373640591378515,1,57.761268304737165,0.9695211814213249,9,1,0
seg_8_30,37.716,-122.49,37.717,-122.48899999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.11909659944766438,3.0215603968688125,0.5793999778660415,0,453.50211854567664,0.5185646683225899,3,1,0
seg_47_49,37.754999999999995,-122.47099999999999,37.75599999999999,-122.46999999999998,0,2,0,4,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.081006172604301,1.3364888390645422,0.9082757256311604,0,207.9512540107931,0.2192094595759437,9,2,0
seg_27_50,37.735,-122.47,37.736,-122.469,1,13,0,24,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.09154780172127974,1.7815296769257543,0.8999180639881635,0,478.5623074461101,0.14677619864776623,4,2,0
seg_94_97,37.802,-122.423,37.803,-122.422,0,20,0,29,7,14,0,0,0,14,0,0,19,5,True,False,True,10,0,0,0.024351591323769066,2.3035152766546485,0.3647133103500828,0,332.27607020180494,0.11454246118782098,3,3,1
seg_31_66,37.739,-122.454,37.739999999999995,-122.45299999999999,0,2,0,2,2,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.07707788269016382,3.05412556554086,0.9773928615519661,0,217.025756137273,0.40700271440642355,1,3,0
seg_64_87,37.772,-122.43299999999999,37.772999999999996,-122.43199999999999,7,30,0,63,3,33,0,0,0,33,0,0,19,5,True,False,True,10,0,0,0.039661064030092244,2.880838217702423,0.6376424677352115,0,253.59442730456453,0.8463676654025544,5,2,1
seg_7_17,37.714999999999996,-122.503,37.715999999999994,-122.502,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.12980754985746765,2.340887701850978,0.8509993578425953,0,231.81770428709146,0.8806908457759715,5,1,0
seg_20_112,37.728,-122.408,37.729,-122.407,2,10,0,19,0,7,0,0,0,7,0,0,19,5,True,False,True,10,1,0,0.06648308055437355,1.2411172902347818,0.5872931387896879,1,458.5563720773591,0.6740772336765923,5,3,0
seg_28_109,37.736,-122.411,37.736999999999995,-122.41,2,5,0,11,0,7,0,0,0,7,0,0,19,5,True,False,True,10,0,0,0.059033888572580795,3.224730760172451,0.4861322454550915,0,311.0554777726846,0.6821460310084667,6,4,0
seg_71_90,37.778999999999996,-122.42999999999999,37.779999999999994,-122.42899999999999,23,20,1,107,3,4,0,0,0,4,0,0,19,5,True,False,True,10,0,0,0.033541019662485405,3.252057805448905,0.25098361830791316,0,460.6640363564983,0.519836525793947,3,4,1
seg_84_69,37.792,-122.451,37.793,-122.44999999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.05103920062068693,2.0892063284111675,0.5987766352704867,0,404.6929732395497,0.9152997381342548,6,1,0
seg_97_65,37.805,-122.455,37.806,-122.454,0,0,0,0,0,0,1,0,0,1,0,0,19,5,True,False,True,10,0,0,0.056089214649513934,1.8901700737196123,0.21493003819313883,0,389.3148723487938,0.3471370298806175,5,2,0
seg_101_156,37.809,-122.36399999999999,37.809999999999995,-122.36299999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.03900000000001459,3.42294055030392,0.20839041698049796,0,137.50738101751432,0.8489083681423318,7,3,0
seg_8_66,37.716,-122.454,37.717,-122.45299999999999,3,5,0,16,2,2,0,0,0,2,0,0,19,5,True,False,True,10,0,0,0.09486832980504105,3.0258427978137843,0.5385190612268195,1,310.35136794505433,0.38818049419880124,4,4,0
seg_83_105,37.791,-122.41499999999999,37.791999999999994,-122.41399999999999,9,24,4,99,14,46,1,0,0,47,0,0,19,5,True,False,True,10,1,0,0.015297058540765,1.3434032671510856,0.4615553014595847,1,275.8474167337237,0.299244587535594,3,3,1
seg_63_32,37.771,-122.488,37.772,-122.487,4,4,2,20,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.09095603333478622,2.6424120225172345,0.5970945985150835,0,243.6913875615318,0.8092126920917133,11,2,0
seg_67_86,37.775,-122.434,37.775999999999996,-122.43299999999999,3,28,0,50,1,17,0,0,0,17,0,0,19,5,True,False,True,10,0,0,0.03894868418829294,2.0215942184060274,0.9247049619703644,0,197.83278310746667,0.19902433600692393,6,3,1
seg_38_75,37.745999999999995,-122.445,37.74699999999999,-122.44399999999999,0,11,0,18,1,3,0,0,0,3,0,0,19,5,True,False,True,10,0,0,0.0657951365983767,1.8980530510416629,0.23531563040421608,0,314.4654808589947,0.3531411400344936,1,4,0
seg_44_93,37.751999999999995,-122.42699999999999,37.75299999999999,-122.42599999999999,0,15,0,34,1,5,0,0,0,5,0,0,19,5,True,False,True,10,1,0,0.04992995093127392,2.332391994148166,0.22314519296567303,1,94.15057554901611,0.2334209017559346,5,4,1
seg_33_29,37.741,-122.491,37.742,-122.49,1,5,0,15,0,1,0,0,0,1,0,0,19,5,True,False,True,10,0,0,0.10530906893519956,2.0875954716095544,0.9806033082104653,0,439.0454031763071,0.21415901340182383,3,3,0
seg_71_57,37.778999999999996,-122.463,37.779999999999994,-122.46199999999999,6,12,2,49,4,7,0,0,0,7,0,0,19,5,True,False,True,10,0,0,0.06476109943475733,2.0734771714396523,0.21845589834326154,1,246.71777186637024,0.6350201049152114,9,3,1
seg_95_120,37.803,-122.39999999999999,37.803999999999995,-122.39899999999999,0,2,0,8,0,1,0,0,0,1,0,0,19,5,True,False,True,10,0,1,0.009000000000000341,2.3690243763414593,0.7466808296730887,0,345.0093569297302,0.2840579351003346,6,2,0
seg_44_116,37.751999999999995,-122.404,37.75299999999999,-122.40299999999999,5,12,1,38,2,61,4,0,0,65,0,0,19,5,True,False,True,10,1,0,0.042190046219458675,2.815466923437696,0.9159245943715844,1,407.79712793723905,0.7198572689759755,5,4,1
seg_15_112,37.723,-122.408,37.724,-122.407,2,4,0,10,1,2,0,0,0,2,0,0,19,5,True,False,True,10,0,0,0.07144928271158248,3.3896104444226434,0.27415297277019574,0,352.7000434198023,0.5269251107387107,6,3,0
seg_11_120,37.719,-122.39999999999999,37.72,-122.39899999999999,7,5,0,18,0,11,2,0,0,13,0,0,19,5,True,False,True,10,1,0,0.07499999999999574,2.934048915403429,0.6573323062974854,1,97.81274010636702,0.5955001207409748,2,3,1
seg_39_114,37.747,-122.40599999999999,37.748,-122.40499999999999,6,14,1,55,4,5,3,0,0,8,0,0,19,5,True,False,True,10,1,0,0.04738143096192383,1.911834229662327,0.2738999463023573,0,298.6337595474887,0.3870643592869879,4,4,1
seg_101_101,37.809,-122.419,37.809999999999995,-122.41799999999999,1,6,0,18,0,1,0,0,0,1,0,0,19,5,True,False,True,10,0,0,0.02420743687381389,1.493095652344871,0.8767628769609032,1,304.70319264390315,0.7888148226085078,3,3,0
seg_80_25,37.788,-122.49499999999999,37.788999999999994,-122.49399999999999,0,2,0,3,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.09518928511128281,3.4029468415829003,0.2219182953811698,0,335.201406741244,0.7927031917714152,5,2,0
seg_38_28,37.745999999999995,-122.49199999999999,37.74699999999999,-122.49099999999999,0,5,0,7,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.10376897416856991,1.6206814559303577,0.8865037391161498,0,166.81778727851963,0.4683171302249628,3,1,0
seg_25_101,37.733,-122.419,37.733999999999995,-122.41799999999999,2,4,0,15,1,1,0,0,0,1,0,0,19,5,True,False,True,10,0,0,0.0638905313798505,2.343734923743514,0.8454081809163725,0,313.2943034310409,0.9609062291643587,9,3,0
seg_46_59,37.754,-122.461,37.754999999999995,-122.46,0,0,0,3,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.07294518489934107,1.2118547037367406,0.9376188944069719,1,302.19397509005904,0.7110493569985169,6,4,0
seg_98_78,37.806,-122.442,37.806999999999995,-122.44099999999999,3,7,0,16,3,3,0,0,0,3,0,0,19,5,True,False,True,10,0,0,0.0436806593356711,2.8869391581246133,0.6999484087974894,1,470.5229869979019,0.43849391964116596,6,3,0
seg_93_62,37.801,-122.458,37.802,-122.457,0,1,0,3,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.058420886675907495,1.953564585045137,0.2622337429314599,0,339.10734575532,0.28781070169570383,4,3,0
seg_55_23,37.763,-122.497,37.763999999999996,-122.496,1,2,0,5,0,10,0,0,0,10,0,0,19,5,True,False,True,10,0,0,0.10183319694480185,3.3258236934165146,0.7812483719722552,1,109.44648837493085,0.6187723591131709,3,2,0
seg_95_146,37.803,-122.374,37.803999999999995,-122.37299999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.027513632984405203,3.2963453299325307,0.5351714323977389,0,313.13502325438833,0.9451524842477681,6,3,0
seg_4_25,37.711999999999996,-122.49499999999999,37.712999999999994,-122.49399999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.12549501982149414,3.334526369648709,0.5377072685602357,1,54.83630031301146,0.8774644012496676,8,1,0
seg_29_130,37.737,-122.39,37.738,-122.389,13,15,1,80,6,22,0,0,0,22,0,0,19,5,True,False,True,10,1,0,0.05787054518491716,1.414564731258789,0.5818048351916777,0,360.3442225691145,0.9606901966854415,8,1,1
seg_50_69,37.757999999999996,-122.451,37.75899999999999,-122.44999999999999,0,7,0,11,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.06242595614004519,2.2803673605434773,0.6263266916251077,1,364.37556089058376,0.968351262959032,9,4,0
seg_33_68,37.741,-122.452,37.742,-122.451,0,3,0,8,2,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.07424957912337908,2.210499996505226,0.329490276343845,0,343.31737441994994,0.9793369840573636,3,1,0
seg_58_87,37.766,-122.43299999999999,37.766999999999996,-122.43199999999999,6,22,2,59,6,13,1,0,0,14,0,0,19,5,True,False,True,10,1,0,0.043278170016754075,2.385319124660437,0.5889019107738639,0,97.24877874744246,0.6797565112304483,7,4,1
seg_53_21,37.760999999999996,-122.499,37.76199999999999,-122.49799999999999,2,1,0,11,0,8,1,0,0,9,0,0,19,5,True,False,True,10,0,0,0.10435516278554699,3.1904114225724993,0.5340773459625876,1,403.573854575718,0.9063580426984728,3,2,0
seg_72_85,37.78,-122.435,37.781,-122.434,18,44,0,125,12,29,0,0,0,29,0,0,19,5,True,False,True,10,0,0,0.0376961536499368,1.446103025645447,0.8580785969446771,1,134.33054865546387,0.9952718678298055,11,3,1
seg_31_109,37.739,-122.411,37.739999999999995,-122.41,2,7,1,23,0,2,0,0,0,2,0,0,19,5,True,False,True,10,0,0,0.056089214649519506,1.9318254862424635,0.40968157460331955,0,278.2341351203311,0.8970090004184645,5,1,0
seg_100_31,37.808,-122.48899999999999,37.809,-122.48799999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.09009439494217888,2.5998279721087942,0.4368947530508249,0,420.67024582321864,0.21631504743409047,3,1,0
seg_9_117,37.717,-122.40299999999999,37.717999999999996,-122.40199999999999,4,3,0,11,1,2,0,0,0,2,0,0,19,5,True,False,True,10,0,0,0.07705841939723157,2.341593490173119,0.4669425670195939,0,258.06411173982303,0.5946112039876792,6,3,0
seg_32_40,37.739999999999995,-122.47999999999999,37.74099999999999,-122.47899999999998,1,5,0,16,0,1,0,0,0,1,0,0,19,5,True,False,True,10,0,0,0.09651942809609719,2.058412244614657,0.6736656114854909,0,121.82338912954523,0.3500096101731285,4,2,0
seg_34_31,37.742,-122.48899999999999,37.742999999999995,-122.48799999999999,2,5,0,18,1,4,0,0,0,4,0,0,19,5,True,False,True,10,0,0,0.10307764064042786,1.605036499857237,0.8752751840060182,1,126.23484050013226,0.8411703899442207,2,2,0
seg_67_110,37.775,-122.41,37.775999999999996,-122.40899999999999,26,45,22,189,11,30,5,0,0,35,0,0,19,5,True,False,True,10,1,0,0.021470910553578193,2.6133832435085256,0.9168040272035459,0,271.57522181692315,0.47198512617646227,7,2,1
seg_56_50,37.763999999999996,-122.47,37.76499999999999,-122.469,7,17,0,39,4,15,1,0,0,16,0,0,19,5,True,False,True,10,0,0,0.07615773105863326,2.329687228155291,0.6282651861380693,0,471.66605457084944,0.20361206397070267,5,3,1
seg_61_127,37.769,-122.393,37.769999999999996,-122.392,2,17,0,37,2,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.02596150997149432,3.3571930632031606,0.7597973799175004,1,251.28742884650038,0.43958559879788517,8,1,0
seg_2_21,37.71,-122.499,37.711,-122.49799999999999,0,0,0,0,0,0,0,0,0,0,0,0,19,5,True,False,True,10,0,0,0.1298345100502839,3.070262412019132,0.8065303104896513,1,51.94794609199002,0.26975705739764333,3,2,0
seg_10_49,37.717999999999996,-122.47099999999999,37.718999999999994,-122.46999999999998,1,7,0,16,2,1,0,0,0,1,0,0,19,5,True,False,True,10,0,0,0.10400480758117756,1.3233933178744872,0.9909562658282077,0,360.91599359540805,0.5010978290456368,9,4,0
